UserID,MovieID,MovieTitle
1441,2431,Patch Adams (1998)
1441,2858,American Beauty (1999)
1441,110,Braveheart (1995)
1441,2396,Shakespeare in Love (1998)
1441,1923,There's Something About Mary (1998)
1441,356,Forrest Gump (1994)
1441,1249,Nikita (La Femme Nikita) (1990)
1441,1259,Stand by Me (1986)
1441,7,Sabrina (1995)
1441,1265,Groundhog Day (1993)
1441,3052,Dogma (1999)
1441,785,Kingpin (1996)
1441,3060,"Commitments, The (1991)"
1441,1614,In & Out (1997)
1441,1476,Private Parts (1997)
1441,3253,Wayne's World (1992)
1441,3255,"League of Their Own, A (1992)"
1441,1673,Boogie Nights (1997)
1441,218,Boys on the Side (1995)
1441,223,Clerks (1994)
1492,2997,Being John Malkovich (1999)
1492,745,"Close Shave, A (1995)"
1492,1449,Waiting for Guffman (1996)
1492,778,Trainspotting (1996)
1492,924,2001: A Space Odyssey (1968)
1492,3265,Hard-Boiled (Lashou shentan) (1992)
1492,223,Clerks (1994)
1492,1884,Fear and Loathing in Las Vegas (1998)
1492,296,Pulp Fiction (1994)
1492,608,Fargo (1996)
1492,1148,"Wrong Trousers, The (1993)"
1492,1300,My Life as a Dog (Mitt liv som hund) (1985)
1492,1171,Bob Roberts (1992)
1492,1175,Delicatessen (1991)
1492,1199,Brazil (1985)
1492,1546,Schizopolis (1996)
1492,348,Bullets Over Broadway (1994)
1492,3702,Mad Max (1979)
1492,1965,Repo Man (1984)
1492,32,Twelve Monkeys (1995)
1552,3006,"Insider, The (1999)"
1552,2064,Roger & Me (1989)
1552,593,"Silence of the Lambs, The (1991)"
1552,2070,Tender Mercies (1983)
1552,1293,Gandhi (1982)
1552,1296,"Room with a View, A (1986)"
1552,1299,"Killing Fields, The (1984)"
1552,1449,Waiting for Guffman (1996)
1552,1617,L.A. Confidential (1997)
1552,3429,Creature Comforts (1990)
1552,1694,"Apostle, The (1997)"
1552,246,Hoop Dreams (1994)
1552,2858,American Beauty (1999)
1552,608,Fargo (1996)
1552,1172,Cinema Paradiso (1988)
1552,1185,My Left Foot (1989)
1552,800,Lone Star (1996)
1552,1193,One Flew Over the Cuckoo's Nest (1975)
1552,1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996)
1552,2313,"Elephant Man, The (1980)"
2344,1136,Monty Python and the Holy Grail (1974)
2344,2571,"Matrix, The (1999)"
2344,2572,10 Things I Hate About You (1999)
2344,1917,Armageddon (1998)
2344,3937,Runaway (1984)
2344,3793,X-Men (2000)
2344,1259,Stand by Me (1986)
2344,588,Aladdin (1992)
2344,589,Terminator 2: Judgment Day (1991)
2344,1,Toy Story (1995)
2344,3004,"Bachelor, The (1999)"
2344,1265,Groundhog Day (1993)
2344,1270,Back to the Future (1985)
2344,2081,"Little Mermaid, The (1989)"
2344,3033,Spaceballs (1987)
2344,1292,Being There (1979)
2344,1294,M*A*S*H (1970)
2344,788,"Nutty Professor, The (1996)"
2344,2401,Pale Rider (1985)
2344,934,Father of the Bride (1950)
3227,1252,Chinatown (1974)
3227,3006,"Insider, The (1999)"
3227,2064,Roger & Me (1989)
3227,593,"Silence of the Lambs, The (1991)"
3227,1277,Cyrano de Bergerac (1990)
3227,904,Rear Window (1954)
3227,915,Sabrina (1954)
3227,916,Roman Holiday (1953)
3227,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
3227,1617,L.A. Confidential (1997)
3227,3083,All About My Mother (Todo Sobre Mi Madre) (1999)
3227,265,Like Water for Chocolate (Como agua para chocolate) (1992)
3227,1885,"Opposite of Sex, The (1998)"
3227,2692,Run Lola Run (Lola rennt) (1998)
3227,296,Pulp Fiction (1994)
3227,2858,American Beauty (1999)
3227,1172,Cinema Paradiso (1988)
3227,1176,"Double Life of Veronique, The (La Double Vie de V̩ronique) (1991)"
3227,1183,"English Patient, The (1996)"
3227,1354,Breaking the Waves (1996)
3231,1250,"Bridge on the River Kwai, The (1957)"
3231,593,"Silence of the Lambs, The (1991)"
3231,1272,Patton (1970)
3231,1287,Ben-Hur (1959)
3231,912,Casablanca (1942)
3231,923,Citizen Kane (1941)
3231,3066,Tora! Tora! Tora! (1970)
3231,3095,"Grapes of Wrath, The (1940)"
3231,2662,"War of the Worlds, The (1953)"
3231,260,Star Wars: Episode IV - A New Hope (1977)
3231,2872,Excalibur (1981)
3231,1198,Raiders of the Lost Ark (1981)
3231,848,"Spitfire Grill, The (1996)"
3231,858,"Godfather, The (1972)"
3231,110,Braveheart (1995)
3231,2728,Spartacus (1960)
3231,1997,"Exorcist, The (1973)"
3231,527,Schindler's List (1993)
3231,1203,12 Angry Men (1957)
3231,1208,Apocalypse Now (1979)
3474,1248,Touch of Evil (1958)
3474,1252,Chinatown (1974)
3474,1254,"Treasure of the Sierra Madre, The (1948)"
3474,2997,Being John Malkovich (1999)
3474,1260,M (1931)
3474,1269,Arsenic and Old Lace (1944)
3474,593,"Silence of the Lambs, The (1991)"
3474,3019,Drugstore Cowboy (1989)
3474,2076,Blue Velvet (1986)
3474,745,"Close Shave, A (1995)"
3474,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
3474,1284,"Big Sleep, The (1946)"
3474,903,Vertigo (1958)
3474,904,Rear Window (1954)
3474,905,It Happened One Night (1934)
3474,908,North by Northwest (1959)
3474,912,Casablanca (1942)
3474,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
3474,923,Citizen Kane (1941)
3474,926,All About Eve (1950)
3718,1248,Touch of Evil (1958)
3718,1251,8 1/2 (1963)
3718,1264,Diva (1981)
3718,1273,Down by Law (1986)
3718,1279,Night on Earth (1991)
3718,745,"Close Shave, A (1995)"
3718,1280,Raise the Red Lantern (1991)
3718,1288,This Is Spinal Tap (1984)
3718,3089,"Bicycle Thief, The (Ladri di biciclette) (1948)"
3718,2289,"Player, The (1992)"
3718,3093,McCabe & Mrs. Miller (1971)
3718,3424,Do the Right Thing (1989)
3718,608,Fargo (1996)
3718,1306,Until the End of the World (Bis ans Ende der Welt) (1991)
3718,2132,Who's Afraid of Virginia Woolf? (1966)
3718,824,Kaspar Hauser (1993)
3718,2303,Nashville (1975)
3718,2305,Slam (1998)
3718,3134,"Grand Illusion (Grande illusion, La) (1937)"
3718,3152,"Last Picture Show, The (1971)"
4928,3418,Thelma & Louise (1991)
4928,247,Heavenly Creatures (1994)
4928,608,Fargo (1996)
4928,2160,Rosemary's Baby (1968)
4928,3152,"Last Picture Show, The (1971)"
4928,2599,Election (1999)
4928,1208,Apocalypse Now (1979)
4928,1247,"Graduate, The (1967)"
4928,1252,Chinatown (1974)
4928,3210,Fast Times at Ridgemont High (1982)
4928,448,Fearless (1993)
4928,1304,Butch Cassidy and the Sundance Kid (1969)
4928,111,Taxi Driver (1976)
4928,571,"Wedding Gift, The (1994)"
4928,581,"Celluloid Closet, The (1995)"
4928,6,Heat (1995)
4928,597,Pretty Woman (1990)
4928,2071,And the Band Played On (1993)
4928,2076,Blue Velvet (1986)
4928,3020,Falling Down (1993)
5470,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
5470,3022,"General, The (1927)"
5470,903,Vertigo (1958)
5470,908,North by Northwest (1959)
5470,978,"Blue Angel, The (Blaue Engel, Der) (1930)"
5470,3456,"Color of Paradise, The (Rang-e Khoda) (1999)"
5470,1147,When We Were Kings (1996)
5470,1178,Paths of Glory (1957)
5470,3163,Topsy-Turvy (1999)
5470,2966,"Straight Story, The (1999)"
5470,1250,"Bridge on the River Kwai, The (1957)"
5470,1252,Chinatown (1974)
5470,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
5470,2677,Buena Vista Social Club (1999)
5470,3341,Born Yesterday (1950)
5470,2732,Jules and Jim (Jules et Jim) (1961)
5470,2010,Metropolis (1926)
5470,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)
5470,3007,American Movie (1999)
5470,592,Batman (1989)
